short_desc,severity
add third party cookie blocking option cookie pref ui,normal
junit asm gives error debugging java,normal
open tabs subfolder opens tabs main folder instead,major
random compilation problem import cannot resolved,critical
turn computer mail settings gone,critical
retrieving files cvs doesnt convert line breaks,critical
save last used launch target project,normal
searching usernames hostnames showing search result count,normal
content assist code assist window stays open,major
java core dump gtkctreegetnodeinfo,major
r disable show text perspective bar show traditional style bars rpresentation active,minor
failures xmlmodelreconcilercontributiontest xmlmodelreconcilerscenariotest upgrading emf,major
automatic upgrade causes inbox overwrited empty fjl,critical
extractlocalvariablerefactoringtest float fails error test,minor
crash happens open another directorydialog open button existing directorydialog,blocker
graphics new project icon seems glitch bottom window,trivial
provider name fragment name placeholders orgeclipsecorenetwinx,trivial
fastview presentation minimised view stack drawing issues,minor
orgeclipseuitexteditorincrementalfindtarget keycodeconsumption verifykey,minor
crash deleting attachment nsaccessiblegetprevioussibling,critical
team error synchronizing repository,major
model need universal mechanism allows clients map file name different name everywhere ui,normal
email tag states remembered saved thunderbird beta,critical
gtk text widget sends unexpected modifytext event settext called,major
mnemonics ruler context menu,trivial
tvt saving workspace message always english,minor
customcontrolexample styledtext color buttons reset fgbg,trivial
texts cut eclipse,normal
textgetlinecount doesnt work correctly wrapped,major
widgets tooltip tool item inactive shell updated mouse moved item,minor
build console locks,critical
debugging junit testcase jdk,blocker
changing menu items text makes icon disappear,normal
os exit run,critical
gb error gb extension character named project,normal
breakpoints working,blocker
trouble ibuild orgeclipseecoretoolsfeature,normal
accessibletextevent needs since tags new api fields,trivial
progress performance heavy progress reporting degrades performance,normal
gc broken,normal
constructors superclass checked argument names match superclasses,minor
soon run project eclipse shows dialog box stating internal errorplease check logs informationon looking logs seems method called infinitely recursive loop,normal
preferences projectreferencepage wide left margin,trivial
mail lost various attempt download smtp server,critical
attachments attachment panel focusable regression thus completely inaccessible keyboard users,major
progress background operations novice users,major
canceling working set selection dialog changes working set selection,trivial
view titlebars waste pixel,minor
null false positive null type safety depends package name order using lambdas,blocker
replace files dialog wrecks files please believe,critical
refactoring renaming variable using blank spaces shouldnt allowed,normal
remove dependency comibmicu cdt dsf pda example,normal
abstractsourceproviderremovesourceproviderlistener causes memory leak many cases,major
navigation cursor position closed editors,normal
execution environments doesnt list newly added jre,trivial
sometimes red x gets stuck project errors gfpf,critical
quick access dialog executing correct context,major
eclipse remember prompt workspace selection,critical
jre pref page file browse dialogs correctly initialized gel,major
missing mnemonic visible categories view menu,trivial
ctabfolderrenderer longer used swt,blocker
overrideimplement methods dialog expand first element viewer,trivial
workingsets new working set wizard page one resizes strange way,minor
allow image attachments displayed inline scaled,normal
get address label c operator recognized,normal
search new search filters inexact erasure view menu applicable,minor
workbench window flickers frequent view redraws,major
cannot use libgdkxft eclipse,minor
hover filename tab randomly fails show folder path,major
rcp application copy resp paste swing jtextfield fails,major
hang clicking inbox cpu networking sound related,critical
